id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
0,37,35000,RENT,0.0,EDUCATION,B,6000,11.49,0.17,N,14,0
1,22,56000,OWN,6.0,MEDICAL,C,4000,13.35,0.07,N,2,0
2,29,28800,OWN,8.0,PERSONAL,A,6000,8.9,0.21,N,10,0
3,30,70000,RENT,14.0,VENTURE,B,12000,11.11,0.17,N,5,0
4,22,60000,RENT,2.0,MEDICAL,A,6000,6.92,0.1,N,3,0
5,27,45000,RENT,2.0,VENTURE,A,9000,8.94,0.2,N,5,0
6,25,45000,MORTGAGE,9.0,EDUCATION,A,12000,6.54,0.27,N,3,0
7,21,20000,RENT,0.0,PERSONAL,C,2500,13.49,0.13,Y,3,0
8,37,69600,RENT,11.0,EDUCATION,D,5000,14.84,0.07,Y,11,0
9,35,110000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,15000,12.98,0.14,Y,6,0
10,30,78000,MORTGAGE,5.0,VENTURE,B,12800,10.59,0.17,N,5,0
11,22,33000,RENT,6.0,PERSONAL,B,10000,11.12,0.3,N,2,1
12,25,33000,MORTGAGE,1.0,EDUCATION,B,4000,10.75,0.12,N,3,0
13,31,70000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,16000,11.14,0.23,N,9,0
14,27,100000,RENT,1.0,HOMEIMPROVEMENT,C,5000,13.57,0.05,Y,7,0
15,29,33000,OWN,8.0,MEDICAL,A,7300,8.9,0.23,N,8,0
16,26,80000,RENT,2.0,HOMEIMPROVEMENT,D,17000,14.11,0.21,Y,3,0
17,29,60000,OWN,13.0,MEDICAL,A,15000,6.62,0.25,N,9,0
18,22,84000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,5950,11.12,0.07,N,4,0
19,27,65000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,4800,12.73,0.07,Y,8,0
20,28,45000,OWN,0.0,PERSONAL,A,3200,7.88,0.07,N,5,0
21,22,45000,MORTGAGE,3.0,PERSONAL,A,7000,8.59,0.16,N,4,0
22,26,95000,MORTGAGE,10.0,EDUCATION,A,10000,7.68,0.11,N,3,0
23,27,33000,RENT,2.0,VENTURE,A,3000,6.99,0.09,N,6,0
24,22,30000,RENT,3.0,MEDICAL,D,5000,16.49,0.17,N,4,1
25,25,25000,RENT,3.0,VENTURE,C,3500,13.49,0.14,Y,3,1
26,28,75000,MORTGAGE,12.0,VENTURE,A,14000,7.88,0.19,N,5,0
27,21,45000,RENT,5.0,DEBTCONSOLIDATION,A,2800,6.54,0.06,N,4,0
28,32,122004,MORTGAGE,13.0,MEDICAL,A,10000,8.59,0.08,N,9,0
29,23,50000,RENT,4.0,PERSONAL,B,6000,11.49,0.12,N,2,0
30,30,48000,RENT,12.0,EDUCATION,B,2000,9.62,0.04,N,8,0
31,23,78000,MORTGAGE,7.0,PERSONAL,A,5500,8.0,0.07,N,4,0
32,30,80000,RENT,3.0,MEDICAL,B,6000,10.75,0.07,N,8,0
33,24,72000,RENT,3.0,VENTURE,C,16000,15.96,0.22,Y,3,0
34,29,51000,MORTGAGE,6.0,PERSONAL,A,12000,7.66,0.24,N,5,0
35,33,120000,MORTGAGE,1.0,EDUCATION,E,6000,18.64,0.05,Y,6,0
36,24,90000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,14400,7.9,0.16,N,2,0
37,22,68000,MORTGAGE,7.0,PERSONAL,C,15900,13.49,0.25,N,2,0
38,30,54000,RENT,0.0,MEDICAL,B,12500,11.71,0.24,N,10,1
39,22,32000,RENT,6.0,EDUCATION,D,8000,15.58,0.25,N,3,1
40,30,120000,MORTGAGE,4.0,EDUCATION,A,4000,7.14,0.03,N,10,0
41,23,70000,MORTGAGE,5.0,VENTURE,B,10000,12.18,0.14,N,4,0
42,23,67000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,16000,7.49,0.24,N,2,0
43,24,92700,OWN,2.0,EDUCATION,B,2000,9.25,0.02,N,4,0
44,44,58000,RENT,13.0,HOMEIMPROVEMENT,C,15000,14.27,0.26,Y,17,0
45,23,31200,RENT,7.0,MEDICAL,B,2400,11.71,0.08,N,3,0
46,23,90000,MORTGAGE,5.0,PERSONAL,A,12000,6.62,0.13,N,2,0
47,25,39996,RENT,2.0,DEBTCONSOLIDATION,B,8000,12.53,0.2,N,4,0
48,29,44000,MORTGAGE,13.0,EDUCATION,B,10000,11.86,0.23,N,8,1
49,24,82632,RENT,3.0,DEBTCONSOLIDATION,B,10000,12.21,0.12,N,4,0
50,25,40000,RENT,9.0,EDUCATION,A,8000,7.68,0.2,N,4,0
51,38,66000,RENT,5.0,HOMEIMPROVEMENT,B,10000,10.99,0.15,N,13,0
52,27,70000,RENT,9.0,EDUCATION,A,20000,6.54,0.29,N,9,0
53,23,48000,RENT,7.0,MEDICAL,A,8000,8.9,0.17,N,4,1
54,28,90000,MORTGAGE,12.0,EDUCATION,B,6000,9.91,0.07,N,7,0
55,29,34560,RENT,8.0,MEDICAL,E,10000,16.4,0.29,Y,8,1
56,22,40000,MORTGAGE,3.0,PERSONAL,B,12000,10.36,0.3,N,2,0
57,37,60000,MORTGAGE,11.0,VENTURE,A,2000,7.66,0.03,N,17,0
58,24,40000,RENT,1.0,MEDICAL,B,14125,9.91,0.35,N,3,1
59,25,54000,RENT,3.0,DEBTCONSOLIDATION,C,3000,14.26,0.06,Y,3,0
60,26,54000,RENT,1.0,PERSONAL,A,9600,9.32,0.18,N,4,1
61,28,60000,RENT,2.0,VENTURE,A,5500,5.42,0.09,N,5,0
62,28,60000,RENT,5.0,PERSONAL,E,17200,17.06,0.28,Y,8,0
63,22,50000,RENT,5.0,PERSONAL,C,4200,15.23,0.08,Y,2,0
64,23,80000,MORTGAGE,7.0,VENTURE,A,2000,7.51,0.02,N,4,0
65,25,90000,MORTGAGE,2.0,VENTURE,A,15000,9.38,0.17,N,4,0
66,28,120000,MORTGAGE,13.0,VENTURE,C,7200,14.72,0.06,Y,6,0
67,26,30000,RENT,2.0,MEDICAL,A,12000,7.51,0.4,N,4,1
